Start	Stop	Strand	Evidence_code	GeneName,GeneID,Contig
24300309	24303899	+	mRNA identical N	LOC100288638,100288638,NT_022184.15
24338244	24346151	-	best	PFN4,375189,NT_022184.15
24346350	24392507	+	best	LOC375190,375190,NT_022184.15
24397972	24414567	+	best	C2orf84,653140,NT_022184.15
24425735	24583397	-	best	ITSN2,50618,NT_022184.15
24553271	24553543	+	protein identical N	LOC646049,646049,NT_022184.15
24557381	24557652	+	best	RPL36AP13,100271323,NT_022184.15
24807346	24993571	+	best	NCOA1,8648,NT_022184.15
25013136	25016251	-	best	C2orf79,391356,NT_022184.15
25016333	25042784	+	best	CENPO,79172,NT_022184.15
25042038	25142055	-	best	ADCY3,109,NT_022184.15
25166505	25194824	-	best	DNAJC27,51277,NT_022184.15
25191796	25192110	-	best	RPS13P5,100271061,NT_022184.15
25264973	25382004	+	best	EFR3B,22979,NT_022184.15
25383722	25391559	-	best	POMC,5443,NT_022184.15
25455845	25565459	-	best	DNMT3A,1788,NT_022184.15
25468894	25470435	+	mRNA identical N	LOC100288694,100288694,NT_022184.15
25551509	25551590	-	external external N	MIR1301,100302108,NT_022184.15
25592818	25593529	-	mRNA  	LOC100131510,100131510,NT_022184.15
25600112	25896503	-	best	DTNB,1838,NT_022184.15
25610093	25611509	+	mRNA identical N	LOC100289053,100289053,NT_022184.15
25962253	26101312	-	best	ASXL2,55252,NT_022184.15
26031557	26033596	-	best	LOC751599,751599,NT_022184.15
26045338	26045819	+	protein  	LOC100288719,100288719,NT_022184.15
26149455	26205443	-	best	KIF3C,3797,NT_022184.15
26214890	26217950	+	protein identical N	LOC729769,729769,NT_022184.15
26251074	26251481	-	mRNA identical N	LOC391358,391358,NT_022184.15
26256974	26360278	+	best	RAB10,10890,NT_022184.15
26324186	26325005	-	best	RPS2P15,100270858,NT_022184.15
26363124	26364133	-	protein identical N	LOC391359,391359,NT_022184.15
26372073	26373600	+	protein  	LOC646196,646196,NT_022184.15
26384702	26386728	+	best	PPIL1P1,150947,NT_022184.15
26395015	26412665	+	mRNA  	FAM59B,150946,NT_022184.15
26413504	26467594	-	best	HADHA,3030,NT_022184.15
26467616	26513333	+	best	HADHB,3032,NT_022184.15
26531041	26569685	-	best	GPR113,165082,NT_022184.15
26568954	26618759	+	best	SELI,85465,NT_022184.15
26624784	26679579	+	best	C2orf39,92749,NT_022184.15
26680071	26781566	-	best	OTOF,9381,NT_022184.15
26785481	26802395	+	best	C2orf70,339778,NT_022184.15
26804073	26864211	-	best	CIB4,130106,NT_022184.15
26901087	26901378	-	best	RPL37P11,100271016,NT_022184.15
26915581	26954066	+	best	KCNK3,3777,NT_022184.15
26987142	27004099	+	best	C2orf18,54978,NT_022184.15
27008882	27017457	+	best	CENPA,1058,NT_022184.15
27050037	27070694	-	protein  	LOC100128579,100128579,NT_022184.15
27070969	27173219	+	best	DPYSL5,56896,NT_022184.15
27193525	27250087	+	best	MAPRE3,22924,NT_022184.15
27255774	27264565	+	best	TMEM214,54867,NT_022184.15
27273650	27273738	+	tRNAscan-SE external N	TRNAY-GUA,100126506,NT_022184.15
27274082	27274154	+	tRNAscan-SE external N	TRNAA-AGC,100126501,NT_022184.15
27274491	27293490	+	best	AGBL5,60509,NT_022184.15
27293340	27294567	-	best	LOC100128731,100128731,NT_022184.15
27301506	27309271	+	best	EMILIN1,11117,NT_022184.15
27307803	27309442	-	mRNA identical N	LOC100288662,100288662,NT_022184.15
27309611	27323619	+	best	KHK,3795,NT_022184.15
27323469	27341971	-	best	CGREF1,10669,NT_022184.15
27346657	27353680	+	best	ABHD1,84696,NT_022184.15
27353624	27357542	-	best	PREB,10113,NT_022184.15
27359715	27362332	-	best	C2orf53,339779,NT_022184.15
27372002	27375735	+	best	TCF23,150921,NT_022184.15
27422458	27435071	-	best	SLC5A6,8884,NT_022184.15
27434899	27440046	+	best	C2orf28,51374,NT_022184.15
27440258	27466654	+	best	CAD,790,NT_022184.15
27477440	27485960	-	best	SLC30A3,7781,NT_022184.15
27498289	27504296	+	best	DNAJC5G,285126,NT_022184.15
27505600	27530307	+	best	TRIM54,57159,NT_022184.15
27530265	27531130	-	best	UCN,7349,NT_022184.15
27532360	27545969	-	best	MPV17,4358,NT_022184.15
27548721	27579868	-	best	GTF3C2,2976,NT_022184.15
27587219	27593324	-	best	EIF2B4,8890,NT_022184.15
27593389	27599994	+	best	SNX17,9784,NT_022184.15
27600102	27603593	-	best	ZNF513,130557,NT_022184.15
27604061	27632496	-	best	PPM1G,5496,NT_022184.15
27615490	27616443	-	best	FTHL3P,2498,NT_022184.15
27651473	27665126	+	best	NRBP1,29959,NT_022184.15
27665263	27667164	+	best	KRTCAP3,200634,NT_022184.15
27667240	27712571	-	best	IFT172,26160,NT_022184.15
27672438	27678729	+	protein  	LOC100288811,100288811,NT_022184.15
27714750	27718126	-	best	FNDC4,64838,NT_022184.15
27719706	27746551	+	best	GCKR,2646,NT_022184.15
27799389	27805589	+	best	C2orf16,84226,NT_022184.15
27805893	27845963	+	best	ZNF512,84450,NT_022184.15
27848510	27851879	-	best	CCDC121,79635,NT_022184.15
27851515	27873713	+	best	GPN1,11321,NT_022184.15
27873679	27886449	-	best	SUPT7L,9913,NT_022184.15
27886338	27917847	+	best	SLC4A1AP,22950,NT_022184.15
27994584	28002608	+	best	MRPL33,9553,NT_022184.15
28004266	28113223	-	best	RBKS,64080,NT_022184.15
28113482	28561768	+	best	BRE,9577,NT_022184.15
28531028	28531437	+	best	RPL23AP34,100271294,NT_022184.15
28615779	28637516	+	best	FOSL2,2355,NT_022184.15
28683001	28701042	-	protein  	LOC100133088,100133088,NT_022184.15
28718982	28866613	+	best	PLB1,151056,NT_022184.15
28974614	29025806	+	best	PPP1CB,5500,NT_022184.15
29033700	29073476	+	best	SPDYA,245711,NT_022184.15
29072687	29093175	-	best	TRMT61B,55006,NT_022184.15
29117533	29171080	+	best	WDR43,23160,NT_022184.15
29136528	29136616	+	best	SNORD92,692209,NT_022184.15
29149933	29150008	+	best	SNORD53,26796,NT_022184.15
29204164	29275096	+	best	FAM179A,165186,NT_022184.15
29284558	29297127	-	best	C2orf71,388939,NT_022184.15
29338308	29406679	+	best	CLIP4,79745,NT_022184.15
29415640	30144432	-	best	ALK,238,NT_022184.15
30369750	30383399	+	best	YPEL5,51646,NT_022184.15
30454397	30482899	+	best	LBH,81606,NT_022184.15
30670123	30867091	+	best	LCLAT1,253558,NT_022184.15
30945637	31030311	-	best	CAPN13,92291,NT_022184.15
31133333	31361571	-	best	GALNT14,79623,NT_022184.15
31394223	31394564	-	protein identical N	LOC100129588,100129588,NT_022184.15
31395922	31440411	-	best	CAPN14,440854,NT_022184.15
31457203	31491260	+	best	EHD3,30845,NT_022184.15
31514048	31514500	+	best	RPL21P70,646489,NT_022184.15
31557188	31637611	-	best	XDH,7498,NT_022184.15
31749656	31806040	-	best	SRD5A2,6716,NT_022184.15
32048479	32048899	-	best	AK2P2,339736,NT_022184.15
32092892	32235698	-	best	MEMO1,51072,NT_022184.15
32248972	32264844	-	best	DPY30,84661,NT_022184.15
32288680	32382706	+	best	SPAST,6683,NT_022184.15
32390933	32446809	+	best	SLC30A6,55676,NT_022184.15
32426567	32429287	+	best	DDX50P1,192146,NT_022184.15
32449518	32490801	-	best	NLRC4,58484,NT_022184.15
32465416	32475066	+	mRNA identical N	LOC100288882,100288882,NT_022184.15
32502958	32531658	+	best	YIPF4,84272,NT_022184.15
32582096	32843966	+	best	BIRC6,57448,NT_022184.15
32757220	32757313	+	external external N	MIR558,693143,NT_022184.15
32853129	33046118	+	best	TTC27,55622,NT_022184.15
33050510	33162270	+	best	LOC285045,285045,NT_022184.15
33152194	33171203	+	best	LOC100271832,100271832,NT_022184.15
33172392	33624576	+	best	LTBP1,4052,NT_022184.15
33661416	33789798	+	best	RASGRP3,25780,NT_022184.15
33808729	33824362	-	best	FAM98A,25940,NT_022184.15
33827109	33827353	+	protein  	LOC100133262,100133262,NT_022184.15
33861569	33862525	+	protein  	LOC100288283,100288283,NT_022184.15
33951128	33953284	-	best	MYADML,151325,NT_022184.15
34064589	34065809	-	best	SLC25A5P2,344371,NT_022184.15
35444443	35444670	-	protein  	LOC100130842,100130842,NT_022184.15
35949825	35950222	-	best	MRPL50P1,351143,NT_022184.15
36526502	36527027	-	best	RPL21P36,100270956,NT_022184.15
36565035	36582895	-	mRNA identical N	LOC100288911,100288911,NT_022184.15
36583397	36778278	+	best	CRIM1,51232,NT_022184.15
36779401	36825332	-	best	FEZ2,9637,NT_022184.15
36923914	37041930	+	best	VIT,5212,NT_022184.15
37067065	37069988	-	mRNA identical N	LOC100288939,100288939,NT_022184.15
37075472	37193615	-	best	STRN,6801,NT_022184.15
37208153	37311485	-	best	HEATR5B,54497,NT_022184.15
37311594	37323738	+	best	CCDC75,253635,NT_022184.15
37333699	37384190	-	best	EIF2AK2,5610,NT_022184.15
37375515	37376447	+	protein  	LOC100128455,100128455,NT_022184.15
37394963	37415690	-	best	SULT6B1,391365,NT_022184.15
37421236	37421902	-	best	RPL31P16,100129418,NT_022184.15
37428772	37458740	-	best	CEBPZ,10153,NT_022184.15
37458774	37476303	+	best	C2orf56,55471,NT_022184.15
37477645	37544222	-	best	PRKD3,23683,NT_022184.15
37571753	37600465	+	best	QPCT,25797,NT_022184.15
37870743	37899326	-	best	CDC42EP3,10602,NT_022184.15
37898114	37899889	+	mRNA  	LOC100129149,100129149,NT_022184.15
38044058	38045104	+	protein identical N	LOC344382,344382,NT_022184.15
38177606	38294280	+	best	FAM82A1,151393,NT_022184.15
38294746	38303323	-	best	CYP1B1,1545,NT_022184.15
38298085	38302793	+	mRNA identical N	LOC100288457,100288457,NT_022184.15
38358247	38408997	+	best	C2orf58,285154,NT_022184.15
38458690	38459525	+	best	RPL7P12,100131085,NT_022184.15
38512551	38513557	+	best	LOC391367,391367,NT_022184.15
38522027	38604432	-	best	ATL2,64225,NT_022184.15
38708916	38710017	+	best	RPLP0P6,220717,NT_022184.15
38708917	38710026	-	mRNA identical N	LOC100288550,100288550,NT_022184.15
38790328	38830178	-	best	HNRPLL,92906,NT_022184.15
38893052	38961909	+	best	GALM,130589,NT_022184.15
38970741	38978636	-	best	SFRS7,6432,NT_022184.15
38978532	38992372	+	protein  	LOC646640,646640,NT_022184.15
38996404	38997406	+	protein  	LOC100289072,100289072,NT_022184.15
39005327	39009107	+	best	GEMIN6,79833,NT_022184.15
39024871	39103021	-	best	DHX57,90957,NT_022184.15
39037357	39038866	-	best	ASSP2,447,NT_022184.15
39103103	39109850	+	best	MORN2,729967,NT_022184.15
39146589	39202590	+	best	LOC100271715,100271715,NT_022184.15
39208690	39347604	-	best	SOS1,6654,NT_022184.15
39405688	39456673	-	best	CDKL4,344387,NT_022184.15
39476422	39664219	-	best	MAP4K3,8491,NT_022184.15
39745780	39892483	+	mRNA identical N	LOC728730,728730,NT_022184.15
39893090	39945103	+	best	TMEM178,130733,NT_022184.15
39963445	40006377	-	best	THUMPD2,80745,NT_022184.15
40339286	40739575	-	best	SLC8A1,6546,NT_022184.15
41383705	41384695	+	protein  	LOC729984,729984,NT_022184.15
42046788	42048789	+	best	LDHAL3,442013,NT_022184.15
42077321	42077823	-	best	RPS12P4,391370,NT_022184.15
42142936	42180435	-	protein identical N	LOC400950,400950,NT_022184.15
42275161	42285668	+	best	SGK493,91461,NT_022184.15
42396490	42559688	+	best	EML4,27436,NT_022184.15
42577642	42588356	-	best	COX7A2L,9167,NT_022184.15
42669157	42721237	-	best	KCNG3,170850,NT_022184.15
42696930	42697444	+	best	RPS13P3,100129718,NT_022184.15
42721784	42722521	+	mRNA identical N	LOC100130921,100130921,NT_022184.15
42795671	42936353	+	best	MTA3,57504,NT_022184.15
42989639	42991401	-	best	OXER1,165140,NT_022184.15
42994229	43019751	-	best	HAAO,23498,NT_022184.15
43037676	43037768	+	tRNAscan-SE external N	TRNAI-UAU,100126483,NT_022184.15
43051868	43054845	-	best	LOC100128048,100128048,NT_022184.15
43449541	43453745	-	best	ZFP36L2,678,NT_022184.15
43454350	43455994	+	best	LOC100129726,100129726,NT_022184.15
43457975	43823185	-	best	THADA,63892,NT_022184.15
43864439	43995126	+	best	PLEKHH2,130271,NT_022184.15
43902292	43903461	-	best	LOC728819,728819,NT_022184.15
44001182	44037149	+	best	DYNC2LI1,51626,NT_022184.15
44039611	44065958	-	best	ABCG5,64240,NT_022184.15
44066103	44105605	+	best	ABCG8,64241,NT_022184.15
44113363	44223144	-	best	LRPPRC,10128,NT_022184.15
44396000	44461742	+	best	PPM1B,5495,NT_022184.15
44497672	44498296	+	best	RPL12_2_212,391371,NT_022184.15
44502597	44547963	+	best	SLC3A1,6519,NT_022184.15
44545902	44586889	-	best	PREPL,9581,NT_022184.15
44589043	44999729	+	best	C2orf34,79823,NT_022184.15
45148216	45150662	-	mRNA  	LOC100130502,100130502,NT_022184.15
45169037	45172390	+	best	SIX3,6496,NT_022184.15
45173413	45224012	+	protein  	LOC730043,730043,NT_022184.15
45232324	45236542	-	best	SIX2,10736,NT_022184.15
45396123	45398184	-	ab	LOC100289242,100289242,NT_022184.15
45615819	45838433	-	best	SRBD1,55133,NT_022184.15
45879043	46415129	+	best	PRKCE,5581,NT_022184.15
45937441	45937513	-	best	TRNAQ39P,100189473,NT_022184.15
46231052	46231560	-	best	RPL26P15,100270965,NT_022184.15
46483999	46484314	-	best	RPL36AP14,100271324,NT_022184.15
46524563	46613836	+	best	EPAS1,2034,NT_022184.15
46706704	46711565	+	best	LOC388946,388946,NT_022184.15
46738986	46747096	-	best	ATP6V1E2,90423,NT_022184.15
46769867	46811827	+	best	RHOQ,23433,NT_022184.15
46808413	46844251	-	best	PIGF,5281,NT_022184.15
46844325	46852881	+	best	CRIPT,9419,NT_022184.15
46881304	46896806	-	mRNA identical N	LOC730078,730078,NT_022184.15
46926099	46989927	+	best	SOCS5,9655,NT_022184.15
47043822	47049800	+	mRNA identical N	LOC388948,388948,NT_022184.15
47055003	47086145	+	best	LOC100134259,100134259,NT_022184.15
47129013	47142949	-	best	MCFD2,90411,NT_022184.15
47168313	47303275	+	best	TTC7A,57217,NT_022184.15
47355587	47382426	-	best	C2orf61,285051,NT_022184.15
47387305	47403650	-	best	CALM2,805,NT_022184.15
47562454	47562653	+	best	BCYRN1,618,NT_022184.15
47596287	47614167	+	best	EPCAM,4072,NT_022184.15
47604814	47604909	+	external external N	MIR559,693144,NT_022184.15
47630263	47710360	+	best	MSH2,4436,NT_022184.15
47717436	47748478	+	mRNA identical N	LOC100288705,100288705,NT_022184.15
47747914	47797470	-	best	KCNK12,56660,NT_022184.15
47799405	47800126	+	mRNA identical N	LOC100131554,100131554,NT_022184.15
47917806	47918420	-	best	RPL18AP6,285053,NT_022184.15
47932607	47933178	+	protein  	LOC100289315,100289315,NT_022184.15
47958535	47997107	-	protein  	LOC100289345,100289345,NT_022184.15
48010221	48034092	+	best	MSH6,2956,NT_022184.15
48024893	48025279	-	best	RPL36AP15,100271325,NT_022184.15
48034059	48132814	-	best	FBXO11,80204,NT_022184.15
48110106	48111053	+	best	RPS27AP7,728971,NT_022184.15
48216764	48217665	+	protein  	LOC100133087,100133087,NT_022184.15
48541795	48606434	+	best	FOXN2,3344,NT_022184.15
48667908	48742525	+	best	KLRAQ1,129285,NT_022184.15
48756528	48759056	+	mRNA  	FLJ46838,440865,NT_022184.15
48796159	48906742	+	best	STON1-GTF2A1L,286749,NT_022184.15
48807763	48826045	+	best	STON1,11037,NT_022184.15
48844948	48960287	+	best	GTF2A1L,11036,NT_022184.15
48913913	48982880	-	best	LHCGR,3973,NT_022184.15
49142189	49143726	-	mRNA  	LOC646936,646936,NT_022184.15
49189652	49381630	-	best	FSHR,2492,NT_022184.15
50105750	50106572	+	best	RPL7P13,130728,NT_022184.15
50145643	51259674	-	best	NRXN1,9378,NT_022184.15
51259745	51555575	+	mRNA  	LOC730100,730100,NT_022184.15
51737280	51738621	+	protein  	LOC100128029,100128029,NT_022184.15
52002370	52002654	-	best	CRYGGP1,1424,NT_022184.15
52154020	52154539	-	protein  	LOC100131852,100131852,NT_022184.15
52789481	52799665	+	protein  	LOC129656,129656,NT_022184.15
53897118	54014079	-	best	ASB3,51130,NT_022184.15
53994929	54002287	+	best	CHAC2,494143,NT_022184.15
54014068	54046495	+	best	C2orf30,27248,NT_022184.15
54080050	54087126	-	best	GPR75,10936,NT_022184.15
54091204	54197977	-	best	PSME4,23198,NT_022184.15
54256624	54257009	-	best	RPL21P30,100271157,NT_022184.15
54342410	54532437	+	best	ACYP2,98,NT_022184.15
54480315	54483409	-	best	TSPYL6,388951,NT_022184.15
54558071	54588714	+	best	C2orf73,129852,NT_022184.15
54683454	54898583	+	best	SPTBN1,6711,NT_022184.15
54756359	54756978	+	best	RPL23AP32,56969,NT_022184.15
54952149	55199157	+	best	EML6,400954,NT_022184.15
55077427	55077486	+	best	RNU7-81P,100151678,NT_022184.15
55199325	55277734	-	best	RTN4,57142,NT_022184.15
55232261	55277698	+	mRNA identical N	LOC100289544,100289544,NT_022184.15
55399683	55459699	-	best	C2orf63,130162,NT_022184.15
55451417	55452263	+	protein  	LOC100128027,100128027,NT_022184.15
55459065	55462749	+	best	RPS27A,6233,NT_022184.15
55463756	55496384	-	best	MTIF2,4528,NT_022184.15
55509374	55511293	-	mRNA identical N	LOC100289575,100289575,NT_022184.15
55509455	55511608	+	best	NCRNA00117,344405,NT_022184.15
55514978	55647057	-	best	CCDC88A,55704,NT_022184.15
55662033	55662855	-	best	LOC652959,652959,NT_022184.15
55746740	55772216	+	best	CCDC104,112942,NT_022184.15
55775514	55844796	-	best	SMEK2,57223,NT_022184.15
55861198	55921011	-	best	PNPT1,87178,NT_022184.15
56093102	56150932	-	best	EFEMP1,2202,NT_022184.15
56210102	56210211	-	external external N	MIR217,406999,NT_022184.15
56216085	56216194	-	external external N	MIR216A,406998,NT_022184.15
56227849	56227930	-	external external N	MIR216B,100126319,NT_022184.15
56400669	56412037	-	mRNA identical N	LOC100129434,100129434,NT_022184.15
56411258	56613309	+	best	CCDC85A,114800,NT_022184.15
57275484	57276507	-	protein  	LOC647016,647016,NT_022184.15
57992049	57993191	+	protein  	LOC100131953,100131953,NT_022184.15
58273729	58387055	+	best	VRK2,7444,NT_022184.15
58386378	58468515	-	best	FANCL,55120,NT_022184.15
58478564	58479822	+	best	LOC339799,339799,NT_022184.15
58687052	58689167	-	mRNA  	LOC644456,644456,NT_022184.15
59465850	59477046	-	mRNA identical N	LOC730134,730134,NT_022184.15
59733686	59742264	+	protein  	LOC100286902,100286902,NT_022184.15
60678302	60780633	-	best	BCL11A,53335,NT_022184.15
60722805	60727099	+	mRNA identical N	LOC100286932,100286932,NT_022184.15
60909819	60910426	-	best	LOC442017,442017,NT_022184.15
60938586	60939069	+	best	RPL26P13,130865,NT_022184.15
60961525	60963058	-	best	ATP1B3P1,484,NT_022184.15
60983383	61026098	+	best	PAPOLG,64895,NT_022184.15
61079355	61079920	+	best	RPL21P33,100270953,NT_022184.15
61108752	61150178	+	best	REL,5966,NT_022184.15
61163065	61165003	-	best	LOC100271700,100271700,NT_022184.15
61165312	61165820	-	best	RPS12P3,344423,NT_022184.15
61167548	61245365	-	best	PUS10,150962,NT_022184.15
61244812	61279125	+	best	PEX13,5194,NT_022184.15
61293006	61365169	+	best	KIAA1841,84542,NT_022184.15
61370099	61372110	-	mRNA identical N	LOC339803,339803,NT_022184.15
61372243	61391964	+	best	C2orf74,339804,NT_022184.15
61404033	61412082	-	mRNA identical N	LOC100286967,100286967,NT_022184.15
61404821	61414058	+	best	AHSA2,130872,NT_022184.15
61414590	61697849	-	best	USP34,9736,NT_022184.15
