Start	Stop	Strand	Evidence_code	GeneName,GeneID,Contig
2160134	2241652	+	best	SKI,6497,NT_004350.19
2252696	2322993	-	best	MORN1,79906,NT_004350.19
2281853	2284100	-	best	LOC100129534,100129534,NT_004350.19
2323214	2336874	+	best	RER1,11079,NT_004350.19
2336241	2344010	-	best	PEX10,5192,NT_004350.19
2407754	2436964	+	best	PLCH2,9651,NT_004350.19
2439975	2458035	-	best	PANK4,55229,NT_004350.19
2460184	2461684	-	best	HES5,388585,NT_004350.19
2481359	2484284	-	best	LOC115110,115110,NT_004350.19
2487208	2488448	-	mRNA  	LOC100132814,100132814,NT_004350.19
2487805	2495268	+	best	TNFRSF14,8764,NT_004350.19
2495677	2496108	+	protein  	LOC100131742,100131742,NT_004350.19
2518249	2522902	+	best	C1orf93,127281,NT_004350.19
2522081	2564429	-	best	MMEL1,79258,NT_004350.19
2572807	2706230	-	mRNA identical N	LOC100287898,100287898,NT_004350.19
2938046	2939467	+	best	ACTRT2,140625,NT_004350.19
2976181	2984289	-	best	FLJ42875,440556,NT_004350.19
2985744	3355185	+	best	PRDM16,63976,NT_004350.19
3369079	3380141	-	mRNA identical N	LOC100288479,100288479,NT_004350.19
3371147	3397677	+	best	ARHGEF16,27237,NT_004350.19
3404506	3528059	-	best	MEGF6,1953,NT_004350.19
3477259	3477354	-	external external N	MIR551A,693135,NT_004350.19
3541556	3546695	+	best	TPRG1L,127262,NT_004350.19
3547331	3566671	-	best	WDR8,49856,NT_004350.19
3569129	3650467	+	best	TP73,7161,NT_004350.19
3652548	3663886	-	best	KIAA0495,57212,NT_004350.19
3668965	3688209	+	best	CCDC27,148870,NT_004350.19
3689352	3692520	+	best	LOC388588,388588,NT_004350.19
3696784	3713068	-	best	LRRC47,57470,NT_004350.19
3731344	3773797	-	best	KIAA0562,9731,NT_004350.19
3773845	3801993	+	best	DFFB,1677,NT_004350.19
3805697	3816857	-	best	C1orf174,339448,NT_004350.19
3816968	3832011	+	best	LOC100133612,100133612,NT_004350.19
4000631	4005522	+	mRNA identical N	LOC728716,728716,NT_021937.19
4235523	4235959	-	best	LOC644357,644357,NT_021937.19
4472111	4484744	+	best	LOC284661,284661,NT_021937.19
4715105	4843851	+	best	AJAP1,55966,NT_021937.19
4715321	4772769	-	mRNA identical N	LOC100287848,100287848,NT_021937.19
5768213	5812682	-	mRNA identical N	LOC100287877,100287877,NT_021937.19
5922870	6052531	-	best	NPHP4,261734,NT_021937.19
6086380	6160523	+	best	KCNAB2,8514,NT_021937.19
6161853	6240183	-	best	CHD5,26038,NT_021937.19
6237172	6238508	+	mRNA identical N	LOC100287356,100287356,NT_021937.19
6245080	6259679	-	best	RPL22,6146,NT_021937.19
6266189	6281359	+	best	RNF207,388591,NT_021937.19
6281253	6296044	-	best	ICMT,23463,NT_021937.19
6298694	6298984	+	protein  	C1orf211,148645,NT_021937.19
6304262	6305638	+	best	HES3,390992,NT_021937.19
6308856	6321035	-	best	GPR153,387509,NT_021937.19
6324332	6453826	-	best	ACOT7,11332,NT_021937.19
6326515	6327225	+	mRNA  	LOC100130071,100130071,NT_021937.19
6475292	6479979	-	best	HES2,54626,NT_021937.19
6484848	6521004	+	best	ESPN,83715,NT_021937.19
6521211	6526255	-	best	TNFRSF25,8718,NT_021937.19
6526152	6580069	-	best	PLEKHG5,57449,NT_021937.19
6585205	6614581	-	best	NOL9,79707,NT_021937.19
6615434	6639817	+	best	TAS1R1,80835,NT_021937.19
6640063	6649340	+	best	ZBTB48,3104,NT_021937.19
6650784	6662929	-	best	KLHL21,9903,NT_021937.19
6673756	6684093	+	best	PHF13,148479,NT_021937.19
6685252	6695645	+	best	THAP3,90326,NT_021937.19
6694228	6761966	-	best	DNAJC11,55735,NT_021937.19
6845384	7829764	+	best	CAMTA1,23261,NT_021937.19
6894388	6894660	-	best	RPL37P9,100270828,NT_021937.19
7831329	7841492	+	best	VAMP3,9341,NT_021937.19
7844763	7905237	+	best	PER3,8863,NT_021937.19
7907672	7913551	-	best	UTS2,10911,NT_021937.19
7979907	8000887	-	best	TNFRSF9,3604,NT_021937.19
8021714	8045342	+	best	PARK7,11315,NT_021937.19
8071779	8086393	-	best	ERRFI1,54206,NT_021937.19
8117241	8118547	-	best	RPL7AP18,390993,NT_021937.19
8242540	8258035	+	protein  	LOC100129776,100129776,NT_021937.19
8384390	8404227	+	best	SLC45A1,50651,NT_021937.19
8412464	8877699	-	best	RERE,473,NT_021937.19
8810469	8811150	+	best	RPL7P11,100270823,NT_021937.19
8846188	8847010	-	best	RPL7P7,644896,NT_021937.19
8858497	8859616	+	best	RPL27P3,100128662,NT_021937.19
8891066	8891437	+	best	RPL23AP19,100131143,NT_021937.19
8921063	8938780	-	best	ENO1,2023,NT_021937.19
8953470	8954662	+	best	LOC100113373,100113373,NT_021937.19
9005922	9035151	+	best	CA6,765,NT_021937.19
9063359	9086404	-	best	SLC2A7,155184,NT_021937.19
9097005	9148510	-	best	SLC2A5,6518,NT_021937.19
9164476	9189229	-	best	GPR157,80045,NT_021937.19
9211727	9211836	-	external external N	MIR34A,407040,NT_021937.19
9241898	9257040	-	mRNA  	LOC727721,727721,NT_021937.19
9294863	9331396	+	best	H6PD,9563,NT_021937.19
9352941	9429591	+	best	SPSB1,80176,NT_021937.19
9599528	9642831	+	best	SLC25A33,84275,NT_021937.19
9636463	9637139	+	best	RPL9P11,642740,NT_021937.19
9648977	9674935	+	best	TMEM201,199953,NT_021937.19
9711790	9789172	+	best	PIK3CD,5293,NT_021937.19
9712668	9714644	-	best	C1orf200,644997,NT_021937.19
9722346	9722686	-	best	RPL26P7,100270883,NT_021937.19
9789079	9884550	-	best	CLSTN1,22883,NT_021937.19
9887909	9888292	-	protein  	FLJ16126,645010,NT_021937.19
9908334	9970316	-	best	CTNNBIP1,56998,NT_021937.19
9989776	10002826	-	best	LZIC,84328,NT_021937.19
10003486	10045556	+	best	NMNAT1,64802,NT_021937.19
10057255	10076078	+	best	RBP7,116362,NT_021937.19
10093016	10241297	+	best	UBE4B,10277,NT_021937.19
10114498	10114840	-	best	RPL21P21,100270877,NT_021937.19
10270764	10441661	+	best	KIF1B,23095,NT_021937.19
10457024	10458956	-	mRNA identical N	LOC100287506,100287506,NT_021937.19
10459085	10480201	+	best	PGD,5226,NT_021937.19
10490159	10512210	+	best	APITD1,378708,NT_021937.19
10509971	10511959	+	best	CORT,1325,NT_021937.19
10520588	10532613	-	best	DFFA,1676,NT_021937.19
10535003	10690815	+	best	PEX14,5195,NT_021937.19
10696661	10856707	-	best	CASZ1,54897,NT_021937.19
11006533	11024258	-	best	C1orf127,148345,NT_021937.19
11025183	11051854	-	protein  	LOC390996,390996,NT_021937.19
11072679	11085549	+	best	TARDBP,23435,NT_021937.19
11086580	11107285	-	best	MASP2,10747,NT_021937.19
11114649	11120091	-	best	SRM,6723,NT_021937.19
11126675	11159938	-	best	EXOSC10,5394,NT_021937.19
11158998	11162108	+	mRNA identical N	LOC100128221,100128221,NT_021937.19
11166588	11322608	-	best	FRAP1,2475,NT_021937.19
11249398	11256038	+	best	ANGPTL7,10218,NT_021937.19
11292967	11293367	+	best	RPL39P6,100270891,NT_021937.19
11333255	11348491	+	best	UBIAD1,29914,NT_021937.19
11539295	11597640	+	best	PTCHD2,57540,NT_021937.19
11708448	11714739	-	best	FBXO2,26232,NT_021937.19
11714432	11723384	+	best	FBXO44,93611,NT_021937.19
11724150	11734411	+	best	FBXO6,26270,NT_021937.19
11734537	11751678	-	best	MAD2L2,10459,NT_021937.19
11751781	11780336	+	best	C1orf187,374946,NT_021937.19
11796142	11810828	+	best	AGTRAP,57085,NT_021937.19
11821844	11838367	+	mRNA identical N	LOC100288041,100288041,NT_021937.19
11838543	11849984	+	mRNA identical N	C1orf167,284498,NT_021937.19
11845787	11866115	-	best	MTHFR,4524,NT_021937.19
11866207	11903201	+	best	CLCN6,1185,NT_021937.19
11905776	11907835	-	best	NPPA,4878,NT_021937.19
11917521	11918992	-	best	NPPB,4879,NT_021937.19
11937776	11940470	+	protein  	LOC390997,390997,NT_021937.19
11968211	11968329	+	best	RNU5E,26829,NT_021937.19
11980122	11986480	-	best	KIAA2013,90231,NT_021937.19
11994746	12035594	+	best	PLOD1,5351,NT_021937.19
12040238	12073572	+	best	MFN2,9927,NT_021937.19
12079512	12092106	+	best	MIIP,60672,NT_021937.19
12123434	12204264	+	best	TNFRSF8,943,NT_021937.19
12227060	12269277	+	best	TNFRSF1B,7133,NT_021937.19
12280849	12290110	-	protein identical N	LOC390998,390998,NT_021937.19
12290113	12572099	+	best	VPS13D,55187,NT_021937.19
12556354	12558314	-	mRNA identical N	LOC100287581,100287581,NT_021937.19
12567300	12567451	+	best	SNORA59A,677885,NT_021937.19
12627939	12677820	-	best	DHRS3,9249,NT_021937.19
12704566	12727097	+	best	AADACL4,343066,NT_021937.19
12776118	12788726	+	best	AADACL3,126767,NT_021937.19
12806163	12821102	+	best	C1orf158,93190,NT_021937.19
12834984	12838049	+	best	PRAMEF12,390999,NT_021937.19
12851546	12856223	+	best	PRAMEF1,65121,NT_021937.19
12884468	12893276	-	mRNA poor N	PRAMEF11,440560,NT_021937.19
12897387	12901210	-	protein  	LOC441870,441870,NT_021937.19
12907261	12908578	-	best	HNRNPCL1,343069,NT_021937.19
12916941	12921764	+	best	PRAMEF2,65122,NT_021937.19
12939033	12946025	-	best	PRAMEF4,400735,NT_021937.19
12952727	12958094	-	best	PRAMEF10,343071,NT_021937.19
12977513	12980233	+	best	PRAMEF7,441871,NT_021937.19
12986916	12988081	+	protein  	LOC729356,729356,NT_021937.19
12998302	13007406	-	best	PRAMEF6,440561,NT_021937.19
13012915	13015755	-	protein  	LOC100129611,100129611,NT_021937.19
13035543	13038381	+	best	PRAMEF22,653606,NT_021937.19
13108514	13117745	-	mRNA identical N	PRAMEF23,729368,NT_021937.19
13123246	13126086	-	protein  	LOC100132865,100132865,NT_021937.19
13140456	13145000	+	protein identical N	PRAMEF25,441873,NT_021937.19
13162645	13165443	-	protein  	LOC649324,649324,NT_021937.19
13182960	13183967	-	best	LOC440563,440563,NT_021937.19
13196270	13199067	+	mRNA  	LOC645354,645354,NT_021937.19
13216688	13219694	-	protein identical N	LOC645359,645359,NT_021937.19
13328196	13331692	-	best	PRAMEF3,401940,NT_004610.19
13351482	13354323	+	protein  	LOC100132443,100132443,NT_004610.19
13359819	13369057	+	best	PRAMEF5,343068,NT_004610.19
13379146	13380311	-	protein  	LOC650236,650236,NT_004610.19
13386646	13390765	-	best	PRAMEF8,391002,NT_004610.19
13411551	13414482	+	protein identical N	LOC645382,645382,NT_004610.19
13421176	13428191	+	best	PRAMEF9,343070,NT_004610.19
13447414	13452656	-	best	PRAMEF13,400736,NT_004610.19
13474053	13477569	-	best	PRAMEF18,391003,NT_004610.19
13495254	13498260	+	best	PRAMEF16,654348,NT_004610.19
13521963	13526943	+	best	PRAMEF21,391001,NT_004610.19
13607431	13611550	-	mRNA identical N	LOC729516,729516,NT_004610.19
13632348	13635279	+	protein identical N	LOC645399,645399,NT_004610.19
13641973	13648987	+	best	PRAMEF15,653619,NT_004610.19
13668269	13673511	-	best	PRAMEF14,729528,NT_004610.19
13694889	13698405	-	best	PRAMEF19,645414,NT_004610.19
13716088	13719064	+	best	PRAMEF17,391004,NT_004610.19
13736907	13747803	+	best	PRAMEF20,645425,NT_004610.19
13801189	13843853	-	mRNA poor N	LRRC38,126755,NT_004610.19
13910252	13944452	+	best	PDPN,10630,NT_004610.19
14026735	14151574	+	best	PRDM2,7799,NT_004610.19
14925213	15444544	+	best	KIAA1026,23254,NT_004610.19
15018325	15018992	-	best	TBCAP2,494541,NT_004610.19
15438311	15478960	-	best	C1orf126,200197,NT_004610.19
15479028	15546974	+	best	TMEM51,55092,NT_004610.19
15573768	15724622	+	best	FHAD1,114827,NT_004610.19
15736441	15756835	+	best	EFHD2,79180,NT_004610.19
15764938	15773153	+	best	CTRC,11330,NT_004610.19
15783224	15798583	+	best	ELA2A,63036,NT_004610.19
15802596	15817895	+	best	ELA2B,51032,NT_004610.19
15818791	15850790	-	best	CASP9,842,NT_004610.19
15853352	15898228	+	best	DNAJC16,23341,NT_004610.19
15899152	15911605	-	best	AGMAT,79814,NT_004610.19
15930788	15931813	+	mRNA identical N	LOC645317,645317,NT_004610.19
15936477	15941441	-	best	CD24L1,935,NT_004610.19
15944070	15986748	+	best	DDI2,84301,NT_004610.19
15986364	15988217	+	best	RSC1A1,6248,NT_004610.19
16010827	16061264	+	best	PLEKHM2,23207,NT_004610.19
16060438	16061264	-	mRNA identical N	LOC100288579,100288579,NT_004610.19
16062809	16067884	+	best	SLC25A34,284723,NT_004610.19
16068917	16074477	+	best	TMEM82,388595,NT_004610.19
16085255	16113084	+	best	FBLIM1,54751,NT_004610.19
16119222	16119832	+	best	RPL12P14,729500,NT_004610.19
16133657	16134194	-	best	UQCRHL,440567,NT_004610.19
16154707	16155228	+	best	RPS16P1,441876,NT_004610.19
16160560	16162958	+	mRNA identical N	LOC100288612,100288612,NT_004610.19
16160710	16174642	-	best	FLJ37453,729614,NT_004610.19
16174359	16266950	+	best	SPEN,23013,NT_004610.19
16268364	16302627	-	best	ZBTB17,7709,NT_004610.19
16316612	16320416	+	protein  	LOC100129063,100129063,NT_004610.19
16330731	16333180	+	best	C1orf64,149563,NT_004610.19
16340523	16345285	-	best	HSPB7,27129,NT_004610.19
16348486	16360545	+	best	CLCNKA,1187,NT_004610.19
16361005	16366526	-	best	LOC440568,440568,NT_004610.19
16370247	16383803	+	best	CLCNKB,1188,NT_004610.19
16384264	16400127	-	best	FAM131C,348487,NT_004610.19
16450832	16482564	-	best	EPHA2,1969,NT_004610.19
16524599	16539104	-	best	ARHGEF19,128272,NT_004610.19
16542874	16552794	-	mRNA identical N	LOC645634,645634,NT_004610.19
16558195	16559516	+	mRNA identical N	LOC100287973,100287973,NT_004610.19
16558195	16563446	-	best	C1orf89,79363,NT_004610.19
16567708	16567893	-	protein  	LOC645652,645652,NT_004610.19
16576559	16678948	-	best	FBXO42,54455,NT_004610.19
16693583	16724640	+	best	C1orf144,26099,NT_004610.19
16695588	16696046	-	best	RPL22P3,729662,NT_004610.19
16725138	16763919	-	best	SPATA21,374955,NT_004610.19
16767167	16786585	+	best	NECAP2,55707,NT_004610.19
16793931	16819196	-	best	CROCCL2,114819,NT_004610.19
16840618	16840780	-	best	RNU1A3,26871,NT_004610.19
16847080	16847153	-	tRNAscan-SE external N	TRNAN-GUU,100126512,NT_004610.19
16847223	16852283	-	protein identical N	LOC645685,645685,NT_004610.19
16860723	16861614	+	mRNA  	LOC100288669,100288669,NT_004610.19
16861669	16862667	-	mRNA  	LOC100132147,100132147,NT_004610.19
16861774	16861845	-	tRNAscan-SE external N	TRNAE-UUC,100126517,NT_004610.19
16865561	16866070	+	protein identical N	LOC100133301,100133301,NT_004610.19
16872434	16872504	-	tRNAscan-SE external N	TRNAG1,7195,NT_004610.19
16874160	16874232	-	best	TRNAV35P,100189486,NT_004610.19
16890412	16939982	-	best	NBPF1,55672,NT_004610.19
16944751	16957401	-	best	CROCCL1,84809,NT_004610.19
16972008	16976771	+	best	MSTP2,11209,NT_004610.19
16993280	16993443	-	best	RNU1C2,26869,NT_004610.19
16999498	17000007	+	protein identical N	LOC729574,729574,NT_004610.19
17004766	17004836	-	tRNAscan-SE external N	TRNAG-CCC,100126533,NT_004610.19
17011046	17012718	-	best	EIF1AP1,280661,NT_004610.19
17017713	17046652	-	best	ESPNP,284729,NT_004610.19
17052061	17052133	+	best	TRNAV36P,100189500,NT_004610.19
17053780	17053850	+	tRNAscan-SE external N	TRNAG-CCC,100126533,NT_004610.19
17060447	17060956	-	protein identical N	LOC729587,729587,NT_004610.19
17067011	17067174	+	best	RNU1A,6060,NT_004610.19
17081401	17090975	-	best	MSTP9,11223,NT_004610.19
17180900	17180971	-	best	TRNAQ49P,100189523,NT_004610.19
17186693	17186765	+	best	TRNAV34P,100189479,NT_004610.19
17188416	17188486	+	tRNAscan-SE external N	TRNAG-CCC,100126533,NT_004610.19
17194855	17195363	-	protein  	LOC100132070,100132070,NT_004610.19
17196254	17198646	-	mRNA identical N	LOC100288921,100288921,NT_004610.19
17198068	17199968	+	mRNA  	LOC440570,440570,NT_004610.19
17198766	17200539	+	mRNA identical N	LOC100288891,100288891,NT_004610.19
17199078	17199149	+	tRNAscan-SE external N	TRNAE-UUC,100126517,NT_004610.19
17201958	17202031	+	tRNAscan-SE external N	TRNAN-GUU,100126512,NT_004610.19
17215339	17216108	+	protein  	LOC100129182,100129182,NT_004610.19
17216172	17216245	+	tRNAscan-SE external N	TRNAN-GUU,100126512,NT_004610.19
17222475	17222638	+	best	RNU1C1,26870,NT_004610.19
17248445	17299474	+	best	CROCC,9696,NT_004610.19
17300997	17308081	-	best	MFAP2,4237,NT_004610.19
17312453	17338423	-	best	ATP13A2,23400,NT_004610.19
17345217	17380665	-	best	SDHB,6390,NT_004610.19
17393256	17445948	-	best	PADI2,11240,NT_004610.19
17520821	17521393	+	protein identical N	LOC400743,400743,NT_004610.19
17531621	17572501	+	best	PADI1,29943,NT_004610.19
17575593	17610728	+	best	PADI3,51702,NT_004610.19
17634690	17690495	+	best	PADI4,23569,NT_004610.19
17698741	17728195	+	best	PADI6,353238,NT_004610.19
17733251	17766220	-	best	RCC2,55920,NT_004610.19
17866330	18024370	+	best	ARHGEF10L,55160,NT_004610.19
18149477	18153558	+	best	ACTL8,81569,NT_004610.19
18434240	18704976	+	best	IGSF21,84966,NT_004610.19
18807424	18812493	+	best	KLHDC7A,127707,NT_004610.19
18839519	18839889	+	best	LOC391012,391012,NT_004610.19
18957500	19075360	+	best	PAX7,5081,NT_004610.19
19166093	19186155	-	best	TAS1R2,80834,NT_004610.19
19197926	19229072	-	best	ALDH4A1,8659,NT_004610.19
19230774	19282826	-	best	IFFO2,126917,NT_004610.19
19401000	19536746	-	best	UBR4,23352,NT_004610.19
19544584	19578046	-	best	KIAA0090,23065,NT_004610.19
19578075	19586622	+	best	MRTO4,51154,NT_004610.19
19592476	19600568	-	best	AKR7L,246181,NT_004610.19
19609057	19615280	-	best	AKR7A3,22977,NT_004610.19
19630459	19638640	-	best	AKR7A2,8574,NT_004610.19
19638740	19655794	+	best	PQLC2,54896,NT_004610.19
19665273	19746244	-	best	CAPZB,832,NT_004610.19
19677793	19680717	+	mRNA identical N	LOC100288987,100288987,NT_004610.19
19726545	19727024	+	protein  	LOC644083,644083,NT_004610.19
19923467	19955174	+	best	C1orf151,440574,NT_004610.19
19934573	19935110	+	best	RPS14P3,644068,NT_004610.19
19969726	19984945	+	best	NBL1,4681,NT_004610.19
19981813	19983834	-	mRNA identical N	LOC100289050,100289050,NT_004610.19
19991780	20006055	+	best	HTR6,3362,NT_004610.19
20008706	20126410	-	best	TMCO4,255104,NT_004610.19
20140522	20141771	-	best	RNF186,54546,NT_004610.19
20208888	20239438	+	best	OTUD3,23252,NT_004610.19
20246800	20250110	-	best	PLA2G2E,30814,NT_004610.19
20301931	20306909	-	best	PLA2G2A,5320,NT_004610.19
20396701	20418394	+	best	PLA2G5,5322,NT_004610.19
20438432	20446008	-	best	PLA2G2D,26279,NT_004610.19
20465823	20476879	+	best	PLA2G2F,64600,NT_004610.19
20490484	20501687	-	best	PLA2G2C,391013,NT_004610.19
20512578	20519942	+	best	UBXN10,127733,NT_004610.19
20617412	20681387	+	best	VWA5B1,127731,NT_004610.19
20808884	20812728	-	best	CAMK2N1,55450,NT_004610.19
20825941	20834674	-	best	MUL1,79594,NT_004610.19
20852445	20853303	+	best	RPS4P4,441878,NT_004610.19
20878932	20881513	+	best	FAM43B,163933,NT_004610.19
20915444	20945401	+	best	CDA,978,NT_004610.19
20959948	20978004	+	best	PINK1,65018,NT_004610.19
20978260	20988037	-	best	DDOST,1650,NT_004610.19
20990507	21044317	-	best	KIF17,57576,NT_004610.19
21046225	21059133	-	best	SH2D5,400745,NT_004610.19
21069171	21113181	-	best	HP1BP3,50809,NT_004610.19
21132972	21503340	-	best	EIF4G3,8672,NT_004610.19
21314807	21314925	-	external external N	MIR1256,100302200,NT_004610.19
21330004	21330457	-	best	RPS15AP6,100271141,NT_004610.19
21543740	21672034	-	best	ECE1,1889,NT_004610.19
21698905	21724860	+	protein  	LOC100133291,100133291,NT_004610.19
21749601	21754453	-	best	NBPF2P,343381,NT_004610.19
21754761	21758727	+	best	HS6ST1P,388605,NT_004610.19
21755957	21758730	-	mRNA identical N	LOC100289081,100289081,NT_004610.19
21766631	21811393	+	best	NBPF3,84224,NT_004610.19
21785917	21786695	-	best	LOC767853,767853,NT_004610.19
21835858	21904905	+	best	ALPL,249,NT_004610.19
21922708	21995856	-	best	RAP1GAP,5909,NT_004610.19
22004791	22109688	-	best	USP48,84196,NT_004610.19
22138758	22151714	+	best	LDLRAD2,401944,NT_004610.19
22148737	22222804	-	best	HSPG2,3339,NT_004610.19
22234551	22235107	+	best	RPL21P29,440575,NT_004610.19
22303418	22315847	+	best	CELA3B,23436,NT_004610.19
22328149	22339035	+	best	CELA3A,10136,NT_004610.19
22351707	22357716	+	best	HSPC157,29092,NT_004610.19
22379120	22419436	+	best	CDC42,998,NT_004610.19
22426523	22446930	+	mRNA identical N	LOC100289113,100289113,NT_004610.19
22443798	22469519	-	best	WNT4,54361,NT_004610.19
